0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.000274,0.001217,0.001792,0.000102,0.004627,0.007793,0.005251,0.004984,0.000304,0.006864,0.001916,0.000145,0.002156,0.007222
0.001217,0.0002,0.001339,0.000302,0.013634,0.003655,0.006124,0.005897,0.002259,0.01275,0.003775,0.00028,0.005737,0.015371
0.001792,0.001339,0.00011,0.000397,0.005108,0.001093,0.00066,0.000427,0.001342,0.004693,0.001239,0.000815,0.000465,0.002987
0.000102,0.000302,0.000397,2.4e-05,0.010546,0.013607,0.007419,0.004529,4.6e-05,0.072541,0.006515,4e-05,0.017613,0.020366
0.004627,0.013634,0.005108,0.010546,0.001473,0.001976,0.000762,0.000792,0.009578,0.00183,0.000315,0.008571,0.00023,0.001968
0.007793,0.003655,0.001093,0.013607,0.001976,4.9e-05,0.001276,0.001369,0.010435,0.000396,0.002188,0.015018,0.001286,0.000613
0.005251,0.006124,0.00066,0.007419,0.000762,0.001276,0.000261,0.000138,0.016845,0.000164,0.00025,0.014621,0.000257,0.000425
0.004984,0.005897,0.000427,0.004529,0.000792,0.001369,0.000138,0.001359,0.007076,0.000995,0.000368,0.005668,0.000783,0.000533
0.000304,0.002259,0.001342,4.6e-05,0.009578,0.010435,0.016845,0.007076,0.000517,0.011901,0.005974,4.8e-05,0.003096,0.022448
0.006864,0.01275,0.004693,0.072541,0.00183,0.000396,0.000164,0.000995,0.011901,9.3e-05,0.000372,0.041137,0.000231,0.000308
0.001916,0.003775,0.001239,0.006515,0.000315,0.002188,0.00025,0.000368,0.005974,0.000372,0.000173,0.009009,0.000727,0.000671
0.000145,0.00028,0.000815,4e-05,0.008571,0.015018,0.014621,0.005668,4.8e-05,0.041137,0.009009,1e-05,0.023306,0.011956
0.002156,0.005737,0.000465,0.017613,0.00023,0.001286,0.000257,0.000783,0.003096,0.000231,0.000727,0.023306,0.000252,0.000337
0.007222,0.015371,0.002987,0.020366,0.001968,0.000613,0.000425,0.000533,0.022448,0.000308,0.000671,0.011956,0.000337,0.001474
,,,,,,,,,,,,,
